1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0.000000000000000000e+00,6.353318237332282676e-04,1.807612575835908578e-03,3.025258377915170365e-03,4.286152093882607955e-03,5.591170578997882966e-03,6.940558014271803675e-03,8.334080755941063873e-03,9.767392196673854027e-03,1.123757580383943390e-02,1.274646729548404959e-02,1.430889898878233944e-02,1.614270029702835271e-02,1.876275897192352174e-02,2.222830858006241694e-02,2.600550762968179344e-02,2.985567795628691137e-02,3.378237010884879016e-02,3.778483664809120096e-02,4.186657605902160267e-02,4.601636048090788217e-02,5.022440447959199139e-02,5.449310772420305760e-02,5.884161563264136974e-02,6.332505508260802274e-02,6.834816424805682800e-02,7.435215286494849252e-02,8.090128479885375090e-02,8.759497063862094202e-02,9.436881304717900654e-02,1.012377614544285459e-01,1.082198181856841857e-01,1.153133351533021517e-01,1.225093509481969267e-01,1.298005724461724630e-01,1.372012232068694215e-01,1.447329506285146838e-01,1.526168474439855705e-01,1.613632643900353436e-01,1.709276093218420056e-01,1.808378520597692385e-01,1.908598745461606849e-01,2.010198546668893471e-01,2.113197152070356022e-01,2.217874530263402866e-01,2.323912703431748050e-01,2.431225127074997938e-01,2.540202465952846600e-01,2.651003485281924754e-01,2.763974850057301369e-01,2.882443590809493639e-01,3.010530679823319455e-01,3.144368644769676702e-01,3.280200965292661142e-01,3.417777875456544656e-01,3.557329471290902045e-01,3.698998965356575797e-01,3.842745619596704132e-01,3.988433085259322497e-01,4.136169526000615382e-01,4.286287846978273919e-01,4.439054793246385855e-01,4.595788807971216139e-01,4.759666776106107333e-01,4.930364507018745734e-01,5.104410416081235358e-01,5.281015951251986085e-01,5.460136192482011319e-01,5.641816057377968541e-01,5.826431630506648807e-01,6.014001182001781354e-01,6.204585371745878764e-01,6.398264252082943582e-01,6.595141900389616119e-01,6.795168510377518345e-01,7.000229196312072188e-01,7.212652308398966872e-01,7.430050089535977786e-01,7.649944521768238248e-01,7.872533543818632795e-01,
0.000000000000000000e+00,6.353318237332282676e-04,1.751328931836753722e-03,2.883467501079700970e-03,4.029524255814960834e-03,5.246818993620363386e-03,6.587640298494429336e-03,8.139032746887184949e-03,9.994032469391633117e-03,1.229796151597351526e-02,1.519262510767633093e-02,1.888427725113402122e-02,2.377489826060741329e-02,3.058628936426198430e-02,3.959380872115160488e-02,5.053133180903187499e-02,6.344681175742102053e-02,7.863384917312025990e-02,9.640974720175204959e-02,1.170988164456793490e-01,1.410698016309319403e-01,1.686593317094701727e-01,2.002330485322222076e-01,2.361929488588232762e-01,2.770376210040084719e-01,3.235756101056155853e-01,3.765971650174478325e-01,4.361216027628144198e-01,5.022703443504790144e-01,5.755049929500798411e-01,6.562565871883365709e-01,7.450119067979575904e-01,8.422553305827596981e-01,9.484906317929117092e-01,1.064239597433372264e+00,1.190001069692183666e+00,1.326335385530983624e+00,1.473964656791507899e+00,1.633944577823662758e+00,1.806687524882970575e+00,1.992311306741015198e+00,2.191455886077237736e+00,2.404482648274057777e+00,2.632159335262977962e+00,2.874962347244634842e+00,3.133248009279930191e+00,3.407911994400161682e+00,3.699379401308407367e+00,4.008420055994174724e+00,4.335731685584954143e+00,4.682124966128008658e+00,5.048574643549923913e+00,5.435227017630483104e+00,5.842580039528457725e+00,6.271660727338486119e+00,6.722510453656662222e+00,7.196075871358809550e+00,7.693012022414129625e+00,8.214341980404201493e+00,8.760810640336899269e+00,9.332569794687870512e+00,9.930534340969797924e+00,1.055567656594127790e+01,1.120892271872567925e+01,1.189037250137018553e+01,1.260083643999447567e+01,1.334150826667753975e+01,1.411243164671215133e+01,1.491455505144909921e+01,1.574856081219783377e+01,1.661511801295199220e+01,1.751446084857144569e+01,1.844708201366670863e+01,1.941418593579386354e+01,2.041700487359473826e+01,2.145590666973433969e+01,2.253142021191533217e+01,2.364490606209003332e+01,2.479613559384582189e+01,2.598527707802535147e+01,
0.000000000000000000e+00,6.353318237332282676e-04,1.805590075075298772e-03,3.021329774913041836e-03,4.289963801765890594e-03,5.628865251534070739e-03,7.062231991380312456e-03,8.622736983612379683e-03,1.034609236406072545e-02,1.227339918727596811e-02,1.446020015238228852e-02,1.698481409589887303e-02,2.013259461591980840e-02,2.449018712480331011e-02,3.020164995842502739e-02,3.682859810009181389e-02,4.423271967401721377e-02,5.252154855162630143e-02,6.180624229595417518e-02,7.220593137460515343e-02,8.383070397626077308e-02,9.679702261549981424e-02,1.112419322397120852e-01,1.273631335184570446e-01,1.453730295993268251e-01,1.658217172811244089e-01,1.892914344690181661e-01,2.155104498316144646e-01,2.442892837120044791e-01,2.757651663967504718e-01,3.101151286026236353e-01,3.475238448711139294e-01,3.882306888151954016e-01,4.324226062270680182e-01,4.802913886789684228e-01,5.320388585270054982e-01,5.879648262616389287e-01,6.485719212973910519e-01,7.146120863943152823e-01,7.863148056229480876e-01,8.633969753533794478e-01,9.458018976848242554e-01,1.033834864548095700e+00,1.127841891381212269e+00,1.228257811354299456e+00,1.335199466796168188e+00,1.448840451852476230e+00,1.569621215756805244e+00,1.697878371884733451e+00,1.833622912895042312e+00,1.977349235082625167e+00,2.130005284016425637e+00,2.291340197645832077e+00,2.461147828177414620e+00,2.639836454806912425e+00,2.827958175580985056e+00,3.026130677751209141e+00,3.235271377051105901e+00,3.455491887745281598e+00,3.686813021285568759e+00,3.929156489586252299e+00,4.183007581329099445e+00,4.449353628195543031e+00,4.728921565606062138e+00,5.022577504176548580e+00,5.330038252260571596e+00,5.652119477337695486e+00,5.989276212550801226e+00,6.341692808170559914e+00,6.709611651664943999e+00,7.093623398480301212e+00,7.494089041568373410e+00,7.911531790074016079e+00,8.346781176971632021e+00,8.800429612890333431e+00,9.272178420481948180e+00,9.762744214664333953e+00,1.027172058217305661e+01,1.079911047382678291e+01,1.134431673583280364e+01
0.000000000000000000e+00,6.353318237332282676e-04,1.752260887023927025e-03,2.885020811901302558e-03,4.028306593042667652e-03,5.242496635962465984e-03,6.570542779530132681e-03,8.132836358787656761e-03,1.002978714611064796e-02,1.238853434828698745e-02,1.539915347964087959e-02,1.926451576171606117e-02,2.438401173602659441e-02,3.157702912596230260e-02,4.109187570710066267e-02,5.273649931343452751e-02,6.659697550975668401e-02,8.301711347354139015e-02,1.023979730573225388e-01,1.251657112250663118e-01,1.517373729007618077e-01,1.826406501724440190e-01,2.182953085355498479e-01,2.592907541152755235e-01,3.062467140062012927e-01,3.600015083419196849e-01,4.214606602096843124e-01,4.906208230232423362e-01,5.678015506772934318e-01,6.534114230944629842e-01,7.483283136614545805e-01,8.532604088507562690e-01,9.690133703000440857e-01,1.096067982412833208e+00,1.235087527252393125e+00,1.386362769627022207e+00,1.549790653078818803e+00,1.725750996264062698e+00,1.915148660461764907e+00,2.116915447608617828e+00,2.332436512266069517e+00,2.560483549260756941e+00,2.801776306347376622e+00,3.053732573119522620e+00,3.318078967159285853e+00,3.591564164299917206e+00,3.877093010756980984e+00,4.178607986726055046e+00,4.499664217918327935e+00,4.840825232799435440e+00,5.204368054899606300e+00,5.588057268910810116e+00,5.989086487459158725e+00,6.410806040828688879e+00,6.856146159944525920e+00,7.328398206314571617e+00,7.830894909352251965e+00,8.370473725464686154e+00,8.937672080928859231e+00,9.512044250485644170e+00,1.012085995019344153e+01,1.078224507717471603e+01,1.147366202986146710e+01,1.219056042837811660e+01,1.294006182839788188e+01,1.370426819443177813e+01,1.450585741789109129e+01,1.537947595144127000e+01,1.628820284036366317e+01,1.721585631542264139e+01,1.819400311255272484e+01,1.916913333680503584e+01,2.023977656174314177e+01,2.135391384074787879e+01,2.248080066590087966e+01,2.365663395357637810e+01,2.482737095980517950e+01,2.608554179115622063e+01,2.743329670675174370e+01,2.880620633125320396e+01
0.000000000000000000e+00,6.353318237332282676e-04,1.734268550282510061e-03,2.886002356369204904e-03,4.240206724000617974e-03,6.123501078677748288e-03,8.952346106312077112e-03,1.330910276783268606e-02,1.986630444508640653e-02,2.952727214170259087e-02,4.325404526433621749e-02,6.222203423236476183e-02,8.789917294207934273e-02,1.222095974863064843e-01,1.667169279709939944e-01,2.226479296422393117e-01,2.915878210461019804e-01,3.755279469164809480e-01,4.765294147203567587e-01,5.968677537066828798e-01,7.387582160451154900e-01,9.048516007180471554e-01,1.097543082546475146e+00,1.319665650983055993e+00,1.573899025078532077e+00,1.863784490230950386e+00,2.192598124167480123e+00,2.563232510849645873e+00,2.978331906284492625e+00,3.442083388728946147e+00,3.956851474390256751e+00,4.527274324021679952e+00,5.156588386423765158e+00,5.848830321718581082e+00,6.607490775344702527e+00,7.436573596878338854e+00,8.339226399046951954e+00,9.320959409198051659e+00,1.038458807467019263e+01,1.153523725103566555e+01,1.277440530366825300e+01,1.410709366004237353e+01,1.553576826652277099e+01,1.706329428135735782e+01,1.869116463087986801e+01,2.042202810089205300e+01,2.225719064670865421e+01,2.419840937669502168e+01,2.624484337916171484e+01,2.839969584658207324e+01,3.066322272488030620e+01,3.303653964731367410e+01,3.551735401409310811e+01,3.810984640676957724e+01,4.081684203856829640e+01,4.363942122303354409e+01,4.656722132470171260e+01,4.959778838420120906e+01,5.273281696197933854e+01,5.597857094723666904e+01,5.932360992182185555e+01,6.276836539110241375e+01,6.631470800121137188e+01,6.997136286697434571e+01,7.374446827549968475e+01,7.762489317145816869e+01,8.159636150140768507e+01,8.567374440165701799e+01,8.985257233774269991e+01,9.411106209186002047e+01,9.847775904618413279e+01,1.029528413670314251e+02,1.075004681328225615e+02,1.121247026503710629e+02,1.168267299360825291e+02,1.215981884376114266e+02,1.264654343157285012e+02,1.314037516848691212e+02,1.364384870024427414e+02,1.415067372630328180e+02
0.000000000000000000e+00,6.353318237332282676e-04,1.734268550282510061e-03,2.886002356369204904e-03,4.240206724000617974e-03,6.123501078677748288e-03,8.952346106312077112e-03,1.330910276783268606e-02,1.986630444508640653e-02,2.952727214170259087e-02,4.325404526433621749e-02,6.222203423236476183e-02,8.789917294207934273e-02,1.222095974863064843e-01,1.667169279709939944e-01,2.226479296422393117e-01,2.915878210461019804e-01,3.755279469164809480e-01,4.765294147203567587e-01,5.968677537066828798e-01,7.387582160451154900e-01,9.048471874589293362e-01,1.097514517596627437e+00,1.319561122679482779e+00,1.573576273558900285e+00,1.862906415689924655e+00,2.190451314469805677e+00,2.558377359813134966e+00,2.968443230276028633e+00,3.423521823083005788e+00,3.924566459513032068e+00,4.474331210567780381e+00,5.074349307833922573e+00,5.726216241914732663e+00,6.431708711045664550e+00,7.192121146169140999e+00,8.009114253509377335e+00,8.884677475068828656e+00,9.820705845309669613e+00,1.081825998451906479e+01,1.187895234274838785e+01,1.300408891298066472e+01,1.419512696820140185e+01,1.545255738212850183e+01,1.677803804382453734e+01,1.817194278693048304e+01,1.963562287444690924e+01,2.116935719451542042e+01,2.277360967266607261e+01,2.445091202149529508e+01,2.620288931945723476e+01,2.802858291705590332e+01,2.993001687709407932e+01,3.190711903633979318e+01,3.396613319194018743e+01,3.610485020845059267e+01,3.831827063196747218e+01,4.060713678688375694e+01,4.297296341846283241e+01,4.541791243675703527e+01,4.793846997252104813e+01,5.053630778943836788e+01,5.321239894588672570e+01,5.597254358911033734e+01,5.881744586833508492e+01,6.174396892816893256e+01,6.474841175056843667e+01,6.783167889891514335e+01,7.100311264549576151e+01,7.424716535273879003e+01,7.757701582214626512e+01,8.099087427682486862e+01,8.447745091947462015e+01,8.804268577352748082e+01,9.168453861871866195e+01,9.540475505986744054e+01,9.921293601305794141e+01,1.031012657135213715e+02,1.070820977828056044e+02,1.111263916039900579e+02
0.000000000000000000e+00,6.353318237332282676e-04,1.805590075075298772e-03,3.021121338763920004e-03,4.288638074783958538e-03,5.624171274964876246e-03,7.049531416843426469e-03,8.593447234012232053e-03,1.028681385184913172e-02,1.216567149872697408e-02,1.427770615570813674e-02,1.669076473274549999e-02,1.968159090285760693e-02,2.382507968481143226e-02,2.924621191748835378e-02,3.548580767901277078e-02,4.238570991948888839e-02,5.003473867008492032e-02,5.851844288474142286e-02,6.792596954265285591e-02,7.834147038524760798e-02,8.985193030330192177e-02,1.025592109217896980e-01,1.165914565453274043e-01,1.321214396436536931e-01,1.496675497804900723e-01,1.697885025188504426e-01,1.921726589077817904e-01,2.165558523250106782e-01,2.430164613994647005e-01,2.717055044115097573e-01,3.027549522683806726e-01,3.363001506165480547e-01,3.724420738022370392e-01,4.113355579978197341e-01,4.531560376906305643e-01,4.980749073959644391e-01,5.464743777552493187e-01,5.990230385985877426e-01,6.558340484672859905e-01,7.165886206028726502e-01,7.812172070040455107e-01,8.499177438804143003e-01,9.228702927666140310e-01,1.000222994522647291e+00,1.082095335704548411e+00,1.168638421158028962e+00,1.260043651902101880e+00,1.356518826908472031e+00,1.458265184022139671e+00,1.565810071044040797e+00,1.679770015539603367e+00,1.799889079645236922e+00,1.925977838147770349e+00,2.058217071618248628e+00,2.196831516602463896e+00,2.341972687453212298e+00,2.493837864864411280e+00,2.652520857307124391e+00,2.818197802305374644e+00,2.991130612271557077e+00,3.171490006953141538e+00,3.359609052196025569e+00,3.556012081639801981e+00,3.760882632532009495e+00,3.974001056556110356e+00,4.195513577855452425e+00,4.425684356131925234e+00,4.664626628481706838e+00,4.912432661777163645e+00,5.169234556672335223e+00,5.435098379821058145e+00,5.710222366622375922e+00,5.994718005260000204e+00,6.288801524578102153e+00,6.592840505799617112e+00,6.907386539240917500e+00,7.232169963397571344e+00,7.567197880158157197e+00,7.912862227866900966e+00
0.000000000000000000e+00,6.353318237332282676e-04,1.805590075075298772e-03,3.021122292984870523e-03,4.288624503685500855e-03,5.624080105574274201e-03,7.049190536352954554e-03,8.592539009024135338e-03,1.028483937554646593e-02,1.216185073039463202e-02,1.427085164620841597e-02,1.667919476932606601e-02,1.966290538631852367e-02,2.379608237232139559e-02,2.920267690752785528e-02,3.542242944856906217e-02,4.229608804194508881e-02,4.991106448474304930e-02,5.835138937478823173e-02,6.770476227964611349e-02,7.805363149336606854e-02,8.948313673375983546e-02,1.020931968577520471e-01,1.160104911850765724e-01,1.314061279559357587e-01,1.487963621106497825e-01,1.687378855620375595e-01,1.909169967135751766e-01,2.150665271197433337e-01,2.412626019502309149e-01,2.696539524686359379e-01,3.003699438413614531e-01,3.335436551545215011e-01,3.692738872201660749e-01,4.077126879698993456e-01,4.490325633989456500e-01,4.934027598163641670e-01,5.412025528540966857e-01,5.930968077736032962e-01,6.491959492801929743e-01,7.091778893836852005e-01,7.729682472112551217e-01,8.407640651661811848e-01,9.127417986657085924e-01,9.890469029457323868e-01,1.069795445260612432e+00,1.155135283628581533e+00,1.245254418690455278e+00,1.340357256305379385e+00,1.440642148564120761e+00,1.546633130194949191e+00,1.658945176226321871e+00,1.777318268970841553e+00,1.901554314247324129e+00,2.031834626718031167e+00,2.168381181283163261e+00,2.311344562302293237e+00,2.460925825578673010e+00,2.617236283708316513e+00,2.780441525865286145e+00,2.950795191635340320e+00,3.128463277862363778e+00,3.313772058911566010e+00,3.507233078421124084e+00,3.709024548812682287e+00,3.918918107928076822e+00,4.137060514527736821e+00,4.363725594375916117e+00,4.599031848769000952e+00,4.843068368542402524e+00,5.095970283942310886e+00,5.357783407740011050e+00,5.628703469928000303e+00,5.908842767761903758e+00,6.198421766126101851e+00,6.497808686825319313e+00,6.807559436231652050e+00,7.127393416660074088e+00,7.457283729241545700e+00,7.797629686658278381e+00
0.000000000000000000e+00,6.353318237332282676e-04,1.793173477584137938e-03,2.980053874652038599e-03,4.217928734070832027e-03,5.565597983280481595e-03,7.131785878898903169e-03,9.096617780042543996e-03,1.173892581993032751e-02,1.550373266089618944e-02,2.110699447998145781e-02,2.975490070850413116e-02,4.380198014143234925e-02,6.805713504695196092e-02,1.132640503969544327e-01,2.206861693676013814e-01,9.152820204678954186e-01,1.562009196425805442e+02,4.147470759066904336e+07,5.035494720990643200e+18,1.108328129233616650e+41,1.092394611345128060e+86,1.983516910463979455e+176,inf,inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
